Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"SDA_DS3231","OffPage","RTC","10","SCHEMATIC1","R169.1,U13.15","502","16","3D","P[2,10]"
"I2C2_SDA","OffPage","RTC","10","SCHEMATIC1","R169.1,U13.15","526","16","3D","P[2]"
"I2C2_SDA","OffPage","OFFPAGE","3","SCHEMATIC1","","604","158","2D","P[2,10]"
"PB9","OffPage","MCU","2","SCHEMATIC1","U34.62","112","348","5C","P[10]"
"PB9","OffPage","OFFPAGE","3","SCHEMATIC1","","584","158","2D","P[2,10]"
"PA1","OffPage","MCU","2","SCHEMATIC1","U34.15","112","108","5D","P[12]"
"PA1","OffPage","OFFPAGE","3","SCHEMATIC1","","204","314","4C","P[2,12]"
"TIM2_CN2","OffPage","TERMINAL","12","SCHEMATIC1","J30.06","774","456","1B","P[2]"
"TIM2_CN2","OffPage","OFFPAGE","3","SCHEMATIC1","","236","314","4C","P[2,12]"
"GPIO_Output_2","OffPage","OUTPUT","5","SCHEMATIC1","C60.2,R54.2,R56.1","278","352","4B","P[2,10]"
"GPIO_Output_2","OffPage","OFFPAGE","3","SCHEMATIC1","","232","442","4B","P[2,5,10]"
"INT_DS3231","OffPage","RTC","10","SCHEMATIC1","R64.1,U13.3","504","72","3D","P[2,5,10]"
"INT_DS3231","OffPage","RTC","10","SCHEMATIC1","R64.1,U13.3","626","312","2C","P[2,5,10]"
"PC12","OffPage","RTC","10","SCHEMATIC1","R64.1,U13.3","526","72","3D","P[2,5]"
"PC12","OffPage","MCU","2","SCHEMATIC1","U34.53","112","538","5A","P[5,10]"
"PC12","OffPage","OFFPAGE","3","SCHEMATIC1","","200","442","4B","P[2,5,10]"
"GPIO_Output_1","OffPage","OUTPUT","5","SCHEMATIC1","C59.2,R49.2,R50.1","256","166","4D","P[2]"
"GPIO_Output_1","OffPage","OFFPAGE","3","SCHEMATIC1","","604","432","2B","P[2,5]"
"PC11","OffPage","MCU","2","SCHEMATIC1","U34.52","112","528","5B","P[5]"
"PC11","OffPage","OFFPAGE","3","SCHEMATIC1","","580","432","2B","P[2,5]"
"PA7","OffPage","MCU","2","SCHEMATIC1","U34.23","112","168","5D","P[12]"
"PA7","OffPage","OFFPAGE","3","SCHEMATIC1","","580","278","2C","P[2,12]"
"SPI1_MOSI","OffPage","TERMINAL","12","SCHEMATIC1","J29.08","392","464","3B","P[2]"
"SPI1_MOSI","OffPage","OFFPAGE","3","SCHEMATIC1","","600","278","2C","P[2,12]"
"SPI1_SCK","OffPage","TERMINAL","12","SCHEMATIC1","J29.06","392","454","3B","P[2]"
"SPI1_SCK","OffPage","OFFPAGE","3","SCHEMATIC1","","600","296","2C","P[2,12]"
"PA5","OffPage","MCU","2","SCHEMATIC1","U34.21","112","148","5D","P[12]"
"PA5","OffPage","OFFPAGE","3","SCHEMATIC1","","580","296","2C","P[2,12]"
"SPI1_NSS","OffPage","TERMINAL","12","SCHEMATIC1","J29.07","246","464","4B","P[2]"
"SPI1_NSS","OffPage","OFFPAGE","3","SCHEMATIC1","","600","312","2C","P[2,12]"
"PA0","OffPage","MCU","2","SCHEMATIC1","U34.14","112","98","5D","P[12]"
"PA0","OffPage","OFFPAGE","3","SCHEMATIC1","","578","312","2C","P[2,12]"
"PD2","OffPage","MCU","2","SCHEMATIC1","U34.54","112","598","5A","P[6]"
"PD2","OffPage","OFFPAGE","3","SCHEMATIC1","","200","460","4B","P[2,6]"
"GPIO_Output_3","OffPage","OUTPUT2","6","SCHEMATIC1","C165.2,R238.2,R240.1","264","166","4D","P[2]"
"GPIO_Output_3","OffPage","OFFPAGE","3","SCHEMATIC1","","232","460","4B","P[2,6]"
"GPIO_Output_4","OffPage","OUTPUT2","6","SCHEMATIC1","C168.2,R243.2,R245.1","286","352","4B","P[2]"
"GPIO_Output_4","OffPage","OFFPAGE","3","SCHEMATIC1","","232","478","4B","P[2,6]"
"PC13","OffPage","MCU","2","SCHEMATIC1","U34.2","112","548","5A","P[6]"
"PC13","OffPage","OFFPAGE","3","SCHEMATIC1","","200","478","4B","P[2,6]"
"GPIO_Input_Menu","OffPage","TERMINAL","12","SCHEMATIC1","J29.09","246","474","4B","P[2]"
"GPIO_Input_Menu","OffPage","OFFPAGE","3","SCHEMATIC1","","238","278","4C","P[2,12]"
"PB1","OffPage","MCU","2","SCHEMATIC1","U34.27","112","268","5C","P[12]"
"PB1","OffPage","OFFPAGE","3","SCHEMATIC1","","206","278","4C","P[2,12]"
"N_GPIO_Input_1","OffPage","TERMINAL","12","SCHEMATIC1","J23.1","312","210","4C","P[4]"
"N_GPIO_Input_1","OffPage","INPUT","4","SCHEMATIC1","R26.2,U8.2","296","320","4C","P[12]"
"N_GPIO_Input_2","OffPage","TERMINAL","12","SCHEMATIC1","J23.2","312","200","4C","P[4]"
"N_GPIO_Input_2","OffPage","INPUT","4","SCHEMATIC1","R28.2,U8.4","296","362","4B","P[12]"
"N_GPIO_Input_3","OffPage","TERMINAL","12","SCHEMATIC1","J23.3","312","190","4C","P[4]"
"N_GPIO_Input_3","OffPage","INPUT","4","SCHEMATIC1","R30.2,U8.6","298","400","4B","P[12]"
"N_GPIO_Input_4","OffPage","TERMINAL","12","SCHEMATIC1","J23.4","312","180","4C","P[4]"
"N_GPIO_Input_4","OffPage","INPUT","4","SCHEMATIC1","R32.2,U8.8","296","430","4B","P[12]"
"VREF+","OffPage","MCU","2","SCHEMATIC1","C156.2,U34.13","512","216","3C","P[2]"
"VREF+","OffPage","MCU","2","SCHEMATIC1","C156.2,U34.13","312","108","4D","P[2]"
"PA12","OffPage","MCU","2","SCHEMATIC1","U34.45","112","218","5C","P[11]"
"PA12","OffPage","OFFPAGE","3","SCHEMATIC1","","580","398","2B","P[2,11]"
"USB_DP","OffPage","USB","11","SCHEMATIC1","D12.1,J61.3","358","280","4C","P[2]"
"USB_DP","OffPage","OFFPAGE","3","SCHEMATIC1","","604","398","2B","P[2,11]"
"PA11","OffPage","MCU","2","SCHEMATIC1","U34.44","112","208","5C","P[11]"
"PA11","OffPage","OFFPAGE","3","SCHEMATIC1","","580","414","2B","P[2,11]"
"USB_DM","OffPage","OFFPAGE","3","SCHEMATIC1","","604","414","2B","P[2,11]"
"USB_DM","OffPage","USB","11","SCHEMATIC1","D11.1,J61.2","360","270","4C","P[2]"
"PB2","OffPage","MCU","2","SCHEMATIC1","U34.28","112","278","5C","P[4]"
"PB2","OffPage","OFFPAGE","3","SCHEMATIC1","","580","330","2C","P[2,4]"
"GPIO_Input_1","OffPage","INPUT","4","SCHEMATIC1","C54.2,D30.2,R24.2,U8.10","570","206","3C","P[2]"
"GPIO_Input_1","OffPage","OFFPAGE","3","SCHEMATIC1","","600","330","2C","P[2,4]"
"GPIO_Input_2","OffPage","INPUT","4","SCHEMATIC1","C53.2,D29.2,R23.2,U8.12","570","216","3C","P[2]"
"GPIO_Input_2","OffPage","OFFPAGE","3","SCHEMATIC1","","600","346","2C","P[2,4]"
"PC8","OffPage","MCU","2","SCHEMATIC1","U34.39","112","498","5B","P[4]"
"PC8","OffPage","OFFPAGE","3","SCHEMATIC1","","578","346","2C","P[2,4]"
"GPIO_Input_3","OffPage","INPUT","4","SCHEMATIC1","C52.2,D28.2,R22.2,U8.14","570","228","3C","P[2]"
"GPIO_Input_3","OffPage","OFFPAGE","3","SCHEMATIC1","","602","364","2B","P[2,4]"
"PC9","OffPage","MCU","2","SCHEMATIC1","U34.40","112","508","5B","P[4]"
"PC9","OffPage","OFFPAGE","3","SCHEMATIC1","","578","364","2B","P[2,4]"
"PC10","OffPage","MCU","2","SCHEMATIC1","U34.51","112","518","5B","P[4]"
"PC10","OffPage","OFFPAGE","3","SCHEMATIC1","","580","380","2B","P[2,4]"
"GPIO_Input_4","OffPage","INPUT","4","SCHEMATIC1","C51.2,D27.2,R21.2,U8.16","570","240","3C","P[2]"
"GPIO_Input_4","OffPage","OFFPAGE","3","SCHEMATIC1","","604","380","2B","P[2,4]"
"RST_DS3231","OffPage","RTC","10","SCHEMATIC1","U13.4","506","90","3D","P[2,10]"
"RST_DS3231","OffPage","RTC","10","SCHEMATIC1","U13.4","290","228","4C","P[2,10]"
"RST_DS3231","OffPage","RTC","10","SCHEMATIC1","U13.4","502","52","3D","P[2,10]"
"PB0","OffPage","RTC","10","SCHEMATIC1","U13.4","526","52","3D","P[2]"
"PB0","OffPage","MCU","2","SCHEMATIC1","U34.26","112","258","5C","P[10]"
"PB8","OffPage","RTC","10","SCHEMATIC1","U13.4","528","90","3D","P[2]"
"PB8","OffPage","MCU","2","SCHEMATIC1","U34.61","112","338","5C","P[10]"
"SWDIO","OffPage","MCU","2","SCHEMATIC1","J31.03","630","414","2B","Property Not Present"
"SWDIO","OffPage","OFFPAGE","3","SCHEMATIC1","","604","450","2B","P[2]"
"PA13","OffPage","MCU","2","SCHEMATIC1","U34.46","112","228","5C","Property Not Present"
"PA13","OffPage","OFFPAGE","3","SCHEMATIC1","","580","450","2B","P[2]"
"SWCLK","OffPage","MCU","2","SCHEMATIC1","J31.02","630","424","2B","Property Not Present"
"SWCLK","OffPage","OFFPAGE","3","SCHEMATIC1","","602","468","2B","P[2]"
"PA14","OffPage","MCU","2","SCHEMATIC1","U34.49","112","238","5C","Property Not Present"
"PA14","OffPage","OFFPAGE","3","SCHEMATIC1","","578","468","2B","P[2]"
"RS485_TX","OffPage","RS485","9","SCHEMATIC1","J13.01,R141.2,U30.1","484","468","3B","P[9]"
"RS485_TX","OffPage","RS485","9","SCHEMATIC1","J13.01,R141.2,U30.1","100","550","5A","P[9]"
"RS485_RX","OffPage","RS485","9","SCHEMATIC1","J12.01,U30.4","342","184","4C","P[9]"
"RS485_RX","OffPage","RS485","9","SCHEMATIC1","J12.01,U30.4","484","420","3B","P[9]"
"ADC_SDA","OffPage","ADC_16BIT","7","SCHEMATIC1","R3.2,U25.9","466","206","3C","P[2,7]"
"ADC_SDA","OffPage","ADC_16BIT","7","SCHEMATIC1","R3.2,U25.9","254","380","4B","P[2,7]"
"I2C1_SDA","OffPage","ADC_16BIT","7","SCHEMATIC1","R3.2,U25.9","518","206","3C","P[2]"
"I2C1_SDA","OffPage","OFFPAGE","3","SCHEMATIC1","","606","190","2C","P[2,7]"
